#,tweet_id,evidence_url,claim_reviewed,indian
7,1.24234712871159E+018,https://www.altnews.in/image-of-covid-19-test-kit-shared-as-newly-developed-coronavirus-vaccine-by-roche/,"""Roche Medical company"" will launch the vaccine developed for coronavirus in United States",1
34,1.24529847907061E+018,https://www.altnews.in/no-us-and-uk-have-not-selected-pm-modi-to-lead-a-coronavirus-task-force/,18 nations including USA and UK want PM Modi to lead a coronavirus task force,1
37,1.24576086186975E+018,https://www.altnews.in/no-us-and-uk-have-not-selected-pm-modi-to-lead-a-coronavirus-task-force/,18 nations including USA and UK want PM Modi to lead a coronavirus task force,1
45,1.34577690548455E+018,https://www.altnews.in/india-tvs-rajat-sharma-falsely-claims-190-countries-pre-book-india-made-covaxin/,190 countries have pre-booked Bharat Biotech COVID vaccine Covaxin,1
88,1.2194618704674E+018,https://www.altnews.in/fact-check-moscow-metro-allows-free-rides-to-commuters-for-30-squats/,30 squats guarantees a ticket on the Moscow metro,1
89,1.21988984137609E+018,https://www.altnews.in/fact-check-moscow-metro-allows-free-rides-to-commuters-for-30-squats/,30 squats guarantees a ticket on the Moscow metro,1
90,1.21986507052129E+018,https://www.altnews.in/fact-check-moscow-metro-allows-free-rides-to-commuters-for-30-squats/,30 squats guarantees a ticket on the Moscow metro,1
93,1.2729329260789E+018,https://www.altnews.in/india-china-dispute-43-chinese-soldiers-killed-media-outlets-and-journalists-mislead/,43 Chinese soldiers killed in India-China dispute,1
94,1.27294804584018E+018,https://www.altnews.in/india-china-dispute-43-chinese-soldiers-killed-media-outlets-and-journalists-mislead/,43 Chinese soldiers killed in India-China dispute,1
97,1.27293409257776E+018,https://www.altnews.in/india-china-dispute-43-chinese-soldiers-killed-media-outlets-and-journalists-mislead/,43 Chinese soldiers killed in India-China dispute,1
109,1.27312252336287E+018,https://www.altnews.in/india-china-dispute-43-chinese-soldiers-killed-media-outlets-and-journalists-mislead/,43 Chinese soldiers killed in India-China dispute,1
149,1.23118301325114E+018,https://www.boomlive.in/fake-news/yogi-who-went-into-meditative-state-300-years-ago-found-alive-a-factcheck-6941,"A Siddhar Yogi who went into Jeeva Samadhi (meditative state) 300 years ago found alive while digging up in Valliyur, Tamilnadu.",1
166,1.34755798040159E+018,https://www.boomlive.in/world/covid-19-vaccine-not-unsafe-nurse-collapsing-11221,A nurse passed out after receiving a COVID-19 vaccine.,1
173,1.27754182244987E+018,https://www.boomlive.in/fake-news/cnn-news18-runs-2016-flogging-video-with-china-pakistan-spin-8680,A recent video shows a Chinese engineer caught beating his Pakistani driver on camera,1
174,1.27722575087836E+018,https://www.boomlive.in/fake-news/cnn-news18-runs-2016-flogging-video-with-china-pakistan-spin-8680,A recent video shows a Chinese engineer caught beating his Pakistani driver on camera,1
247,1.36947463471906E+018,"https://www.boomlive.in/fact-check/no,-badruddin-ajmal-did-not-say-india-will-become-an-islamic-state-12281",AIUDF founder Ajmal Badruddin claims he will make India an Islamic Nation,1
297,1.21494692193001E+018,https://www.altnews.in/does-chhapaak-portray-acid-attack-convict-as-a-hindu-named-rajesh-no-false-claim/,Acid attacker Nadeem Khan's name changed to Rajesh in Chhapaak,1
304,1.21488522255616E+018,https://www.altnews.in/does-chhapaak-portray-acid-attack-convict-as-a-hindu-named-rajesh-no-false-claim/,Acid attacker Nadeem Khan's name changed to Rajesh in Chhapaak,1
308,1.21486558019851E+018,https://www.altnews.in/does-chhapaak-portray-acid-attack-convict-as-a-hindu-named-rajesh-no-false-claim/,Acid attacker Nadeem Khan's name changed to Rajesh in Chhapaak,1
309,1.21481781062437E+018,https://www.altnews.in/does-chhapaak-portray-acid-attack-convict-as-a-hindu-named-rajesh-no-false-claim/,Acid attacker Nadeem Khan's name changed to Rajesh in Chhapaak,1
320,1.21510818829228E+018,https://www.altnews.in/does-chhapaak-portray-acid-attack-convict-as-a-hindu-named-rajesh-no-false-claim/,Acid attacker Nadeem Khan's name changed to Rajesh in Chhapaak,1
328,1.35362200998546E+018,https://www.altnews.in/no-rashtrapati-bhavan-did-not-confuse-subhas-chandra-bose-with-actor-prosenjit-chatterjee/,Actor Prosenjit Chatterjee's portrait revealed at Rashtrapati Bhavan instead of Subhas Chandra Bose,1
354,1.25881615951374E+018,https://www.altnews.in/video-from-pak-viral-as-air-india-flight-flouts-social-distancing-norms-overcharges-passengers/,Air India charged 3 times the fare and did not maintain social distancing in flight,1
359,1.25926836909142E+018,https://www.altnews.in/video-from-pak-viral-as-air-india-flight-flouts-social-distancing-norms-overcharges-passengers/,Air India charged 3 times the fare and did not maintain social distancing in flight,1
407,1.21562015502111E+018,https://www.altnews.in/alt-news-probes-abvps-link-with-jnu-student-exposed-in-india-today-sting/,Akshat Awasthi is not associated with RSS affiliated students' body ABVP,1
475,1.3474588782046E+018,https://www.boomlive.in/world/josh-hawley-antifa-maga-us-protests-11432,"Antifa protestors vandalized Josh Hawleys DC area home, threatened his wife and baby and attempted to pound open the door.",1
541,1.3573777756326E+018,https://www.altnews.in/video-of-water-tanker-running-over-women-protestors-shared-with-false-claims/,BJP/ farm law protestors mowed down elderly women using tractor,1
542,1.35902225247446E+018,https://www.altnews.in/video-of-water-tanker-running-over-women-protestors-shared-with-false-claims/,BJP/ farm law protestors mowed down elderly women using tractor,1
547,1.35473101243411E+018,https://www.altnews.in/video-of-water-tanker-running-over-women-protestors-shared-with-false-claims/,BJP/ farm law protestors mowed down elderly women using tractor,1
572,1.27058265329786E+018,https://www.altnews.in/old-tampered-video-showing-barack-obama-tossing-away-melania-trumps-gift-resurfaces/,Barack Obama tossed away Melania Trump's gift,1
585,1.28584137054491E+018,https://www.altnews.in/clipped-video-barkha-dutts-2004-report-on-plight-of-kashmiri-pandits-viral-as-justifying-their-massacre/,Barkha Dutt justified massacre of Pandits in Kashmir in NDTV report,1
588,1.28591375191329E+018,https://www.altnews.in/clipped-video-barkha-dutts-2004-report-on-plight-of-kashmiri-pandits-viral-as-justifying-their-massacre/,Barkha Dutt justified massacre of Pandits in Kashmir in NDTV report,1
598,1.28949477898852E+018,https://www.altnews.in/old-video-of-hyderabad-temple-viral-as-pandal-decorated-for-ram-mandir-bhumi-pujan/,"Bhumi Pujan decorations in Ram Mandir, Ayodhya",1
601,1.28950446632917E+018,https://www.altnews.in/old-video-of-hyderabad-temple-viral-as-pandal-decorated-for-ram-mandir-bhumi-pujan/,"Bhumi Pujan decorations in Ram Mandir, Ayodhya",1
604,1.28954300420672E+018,https://www.altnews.in/old-video-of-hyderabad-temple-viral-as-pandal-decorated-for-ram-mandir-bhumi-pujan/,"Bhumi Pujan decorations in Ram Mandir, Ayodhya",1
607,1.28981946535013E+018,https://www.altnews.in/old-video-of-hyderabad-temple-viral-as-pandal-decorated-for-ram-mandir-bhumi-pujan/,"Bhumi Pujan decorations in Ram Mandir, Ayodhya",1
608,1.28957430541258E+018,https://www.altnews.in/old-video-of-hyderabad-temple-viral-as-pandal-decorated-for-ram-mandir-bhumi-pujan/,"Bhumi Pujan decorations in Ram Mandir, Ayodhya",1
609,1.28925196003034E+018,https://www.altnews.in/old-video-of-hyderabad-temple-viral-as-pandal-decorated-for-ram-mandir-bhumi-pujan/,"Bhumi Pujan decorations in Ram Mandir, Ayodhya",1
610,1.28954812882408E+018,https://www.altnews.in/old-video-of-hyderabad-temple-viral-as-pandal-decorated-for-ram-mandir-bhumi-pujan/,"Bhumi Pujan decorations in Ram Mandir, Ayodhya",1
620,1.29049434340118E+018,https://www.altnews.in/photo-of-hindu-deity-ram-on-new-yorks-times-square-billboards-is-manufactured/,Billboards at Times Square in New York shows images of Ram,1
626,1.29103365832159E+018,https://www.altnews.in/photo-of-hindu-deity-ram-on-new-yorks-times-square-billboards-is-manufactured/,Billboards at Times Square in New York shows images of Ram,1
655,1.29116206874625E+018,https://www.boomlive.in/fake-news/video-of-boy-rescued-from-open-drain-in-pakistan-viral-as-mumbai-9191,"Boy saved from a manhole near Dongri, Mumbai",1
688,1.26255737654631E+018,https://www.altnews.in/old-video-from-china-shared-as-zee-news-employee-assaulting-doctor-in-hospital/,CCTV footage of Zee News employee assaulting doctor,1
697,1.27762579434967E+018,https://www.boomlive.in/world/no-covid-19-testing-is-not-done-to-implant-gates-funded-microchips-8483,COVID-19 testing is done to implant Bill Gates-funded microchips.,1
704,1.29210376134777E+018,https://www.altnews.in/air-india-crash-old-video-of-retired-naval-officer-falsely-viral-as-late-captain-deepak-sathe-singing/,Captain Deepak Vasant Sathe singing,1
705,1.29270903452551E+018,https://www.altnews.in/air-india-crash-old-video-of-retired-naval-officer-falsely-viral-as-late-captain-deepak-sathe-singing/,Captain Deepak Vasant Sathe singing,1
706,1.2928573717362E+018,https://www.altnews.in/air-india-crash-old-video-of-retired-naval-officer-falsely-viral-as-late-captain-deepak-sathe-singing/,Captain Deepak Vasant Sathe singing,1
721,1.27722575087836E+018,https://www.altnews.in/news18-broadcast-2016-video-from-malaysia-as-chinese-national-beaten-in-pakistan/,Chinese Engineer beats Pakistani driver in Karachi,1
726,1.27757654045333E+018,https://www.altnews.in/news18-broadcast-2016-video-from-malaysia-as-chinese-national-beaten-in-pakistan/,Chinese Engineer beats Pakistani driver in Karachi,1
728,1.27752413913838E+018,https://www.altnews.in/news18-broadcast-2016-video-from-malaysia-as-chinese-national-beaten-in-pakistan/,Chinese Engineer beats Pakistani driver in Karachi,1
741,1.2275250592054E+018,https://www.boomlive.in/fake-news/video-shows-chinese-policemen-killing-coronavirus-patients-factcheck-6885,Chinese police shooting Coronavirus patients in Wuhan,1
763,1.35347093968233E+018,https://www.boomlive.in/fast-check/2014-clip-revived-as-hindu-chants-recited-for-kamala-harris-at-white-house-10913,Clip shows Kamala Harris started her first day in office with mantras of sanatan dharma,1
766,1.35975679682763E+018,https://www.boomlive.in/fact-check/fake-news-nitin-gadkari-viral-video-pm-narendra-modi-andolanjivi-farmers-protest-old-video-anna-hazare-ravishankar-prasad-lokpal-movement-manmohan-singh-11910,Clip shows Nitin Gadkari Criticising PM Modi on his Andolanjivi remark,1
